0,1,2,3,4
"(0, 0.9769155)","(3, 0.021781873)",,,
"(0, 0.95490104)","(3, 0.016530875)","(4, 0.018519906)",,
"(0, 0.9225912)","(3, 0.076315194)",,,
"(0, 0.7832146)","(3, 0.21533304)",,,
"(0, 0.94816965)","(3, 0.05074707)",,,
"(0, 0.97780377)","(3, 0.020810936)",,,
"(0, 0.97239643)","(3, 0.026259974)",,,
"(0, 0.98064595)","(3, 0.018188184)",,,
"(0, 0.93207216)","(2, 0.030015478)","(3, 0.036867417)",,
"(0, 0.87364805)","(3, 0.11022738)","(4, 0.015118281)",,
"(0, 0.9815901)","(3, 0.017113503)",,,
"(0, 0.90640205)","(3, 0.092418715)",,,
"(0, 0.8941277)","(1, 0.02215494)","(3, 0.08284178)",,
"(0, 0.96282995)","(3, 0.029173553)",,,
"(0, 0.8822399)","(3, 0.11642208)",,,
"(0, 0.8913582)","(2, 0.015636824)","(3, 0.09217981)",,
"(0, 0.97150636)","(3, 0.027003307)",,,
"(0, 0.9690264)","(3, 0.029396527)",,,
"(0, 0.9967863)",,,,
"(0, 0.93872964)","(3, 0.059927087)",,,
"(0, 0.98861873)",,,,
"(0, 0.93063223)","(3, 0.06829274)",,,
"(0, 0.99650604)",,,,
"(0, 0.92021036)","(3, 0.07856034)",,,
"(0, 0.9861595)","(3, 0.012768055)",,,
"(0, 0.98267883)","(3, 0.01597107)",,,
"(0, 0.98754424)","(3, 0.011168711)",,,
"(0, 0.85083026)","(3, 0.14810711)",,,
"(0, 0.9749239)","(1, 0.015288649)",,,
"(0, 0.9911284)",,,,
"(0, 0.98033726)","(3, 0.018568533)",,,
"(0, 0.9325716)","(1, 0.019345665)","(3, 0.04725329)",,
"(0, 0.9938011)",,,,
"(0, 0.99646336)",,,,
"(0, 0.92765635)","(3, 0.0711784)",,,
"(0, 0.9340189)","(3, 0.0558193)",,,
"(0, 0.99008036)",,,,
"(0, 0.99616766)",,,,
"(0, 0.956148)","(3, 0.04254947)",,,
"(0, 0.9203513)","(3, 0.07866021)",,,
"(0, 0.9968078)",,,,
"(0, 0.99627393)",,,,
"(0, 0.98735434)",,,,
"(0, 0.9967716)",,,,
"(0, 0.9640127)","(3, 0.034897164)",,,
"(0, 0.9768947)","(3, 0.02170164)",,,
"(0, 0.98575574)","(3, 0.013092465)",,,
"(0, 0.97602415)","(3, 0.022962015)",,,
"(0, 0.51456016)","(1, 0.46062255)","(3, 0.02408737)",,
"(0, 0.66416645)","(1, 0.23778251)","(3, 0.09723711)",,
"(0, 0.6670823)","(1, 0.31668362)","(3, 0.015223628)",,
"(0, 0.62666905)","(1, 0.37019575)",,,
"(0, 0.7212347)","(1, 0.23947285)","(3, 0.038537215)",,
"(0, 0.6232823)","(1, 0.31240252)","(2, 0.041412387)","(3, 0.02237395)",
